"My_Bus_3[7:0]","My_Bus_1[15:0]","Reset","CS","WR","RS","d0","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","My_Bus_2[7:0]","Time"
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.715100 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.715000 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714900 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714800 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714700 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714600 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714500 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714400 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714300 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714200 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714100 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.714000 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713900 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713800 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713700 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713600 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713500 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713400 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713300 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713200 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713100 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.713000 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712900 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712800 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712700 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712600 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712500 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712400 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712300 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712200 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712100 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.712000 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711900 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711800 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711700 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711600 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711500 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711400 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711300 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711200 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711100 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.711000 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710900 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710800 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710700 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710600 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710500 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710400 ms
00,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,-209.710300 ms
